,district,pds,pdds
0,부산진구,46,42861
1,남구,19,16818
2,사상구,21,46855
3,강서구,20,24455
4,해운대구,27,19882
5,동래구,27,19454
6,동구,7,1057
7,영도구,9,20007
8,기장군,20,254152
9,사하구,29,49175
10,수영구,18,23971
11,서구,10,1083
12,금정구,20,63866
13,중구,12,3525
14,연제구,17,11165
15,북구,12,5248
