,district,pds,pdds
0,부산진구,2,15072
1,남구,1,300
2,사상구,49,348076
3,강서구,46,237511
4,해운대구,1,19284
5,동래구,0,0
6,동구,1,1100
7,영도구,6,91382
8,기장군,7,771108
9,사하구,31,70913
10,수영구,0,0
11,서구,0,0
12,금정구,5,383042
13,중구,0,0
14,연제구,1,41455
15,북구,0,0
