,district,pds,pdds
0,부산진구,29,32025
1,남구,32,30690
2,사상구,18,6014
3,강서구,9,29446
4,해운대구,17,24037
5,동래구,24,13154
6,동구,17,21188
7,영도구,12,16405
8,기장군,13,42428
9,사하구,35,38288
10,수영구,18,14849
11,서구,18,13121
12,금정구,19,12392
13,중구,9,5667
14,연제구,13,17001
15,북구,16,11225
