,district,pds,pdds
0,부산진구,8,48543
1,남구,4,12854
2,사상구,5,24519
3,강서구,3,290
4,해운대구,12,148287
5,동래구,5,1160
6,동구,4,4451
7,영도구,1,0
8,기장군,4,448
9,사하구,5,1579
10,수영구,3,9135
11,서구,1,55
12,금정구,1,3075
13,중구,12,22549
14,연제구,2,1800
15,북구,0,0
