,district,pds,pdds
0,부산진구,1,326
1,남구,0,0
2,사상구,2,113
3,강서구,1,495
4,해운대구,0,0
5,동래구,3,214
6,동구,1,110
7,영도구,0,0
8,기장군,0,0
9,사하구,0,0
10,수영구,1,9165
11,서구,0,0
12,금정구,0,0
13,중구,1,0
14,연제구,4,3638
15,북구,0,0
