,district,pds,pdds
0,부산진구,0,0
1,남구,0,0
2,사상구,0,0
3,강서구,2,22550
4,해운대구,0,0
5,동래구,0,0
6,동구,3,595
7,영도구,9,25602
8,기장군,1,0
9,사하구,8,338250
10,수영구,0,0
11,서구,4,4294
12,금정구,0,0
13,중구,2,0
14,연제구,0,0
15,북구,0,0
